_station_id_	n	b	s	time	mean of n samples from s	stdev of n samples				_docks_available_	n	b	s	time	mean of n samples from s	stdev of n samples				id_0	n	b	s	time	mean of n samples from s	stdev of n samples				_bikes_available_	n	b	s	time	mean of n samples from s	stdev of n samples				
	424000	292	1452	630	0.9988537735849057	0.0199633935595342					424000	292	1452	630	5.5401556603773585	0.11653481517223324					424000	292	1452	630	36.81310613207547	43.40063758751111					424000	292	1452	630	7.929900943396226	0.0961160626556647				
	424000	282	1502	713	0.9991981132075471	0.019928941157248727					424000	282	1502	713	5.888757075471698	0.11674921819613603					424000	282	1502	713	35.53469811320755	43.238756624455235					424000	282	1502	713	7.609518867924528	0.09750691300917108				
	424000	273	1552	762	1.505306603773585	0.020170608434598305					424000	273	1552	762	3.5141981132075473	0.11599912001013729					424000	273	1552	762	34.72994575471698	43.091489993242156					424000	273	1552	762	4.019905660377359	0.09696253647736139				
	424000	264	1602	636	1.0010660377358491	0.02014221665402436					424000	264	1602	636	4.491127358490566	0.1156877154955554					424000	264	1602	636	33.23985141509434	42.95703194013799					424000	264	1602	636	9.023308962264151	0.09910045933139183				
	424000	256	1652	581	1.499504716981132	0.02037082635559244					424000	256	1652	581	2.507889150943396	0.11468936274589663					424000	256	1652	581	32.25470754716981	42.83399702494354					424000	256	1652	581	5.010825471698113	0.09904961526206833				
	424000	249	1702	472	1.0015849056603774	0.02034724429947394					424000	249	1702	472	5.573445754716981	0.11488304660612615					424000	249	1702	473	31.65679716981132	42.72117059931493					424000	249	1702	473	8.005061320754717	0.10051021150556882				
	424000	242	1752	534	1.5011108490566039	0.020568093760633566					424000	242	1752	534	5.989952830188679	0.1152488281136301					424000	242	1752	534	30.60648349056604	42.61739849128718					424000	242	1752	534	1.5067122641509434	0.09903276826287973				
	424000	235	1802	640	1.0044811320754716	0.020549821827904425					424000	235	1802	640	5.060382075471698	0.11526309626748789					424000	235	1802	640	29.867957547169812	42.52176703948434					424000	235	1802	640	8.511115566037736	0.10072753233589818				
	424000	228	1852	541	1.0034858490566039	0.020535442859898338					424000	228	1852	541	6.737516509433962	0.11592703728866671					424000	228	1852	541	28.70346462264151	42.433398298681304					424000	228	1852	541	6.776275943396226	0.1015121895183268				
	424000	222	1902	589	0.9996462264150944	0.020523432502675843					424000	222	1902	589	7.732125	0.11697441792872587					424000	222	1902	589	28.114676886792452	42.351627856681255					424000	222	1902	590	5.782478773584906	0.1018340795103622				
	424000	217	1952	591	1.5028231132075471	0.020735748299960242					424000	217	1952	591	2.519787735849057	0.11618464475048255					424000	217	1952	591	27.617455188679244	42.275821385829914					424000	217	1952	591	5.014174528301886	0.10183709497874707				
	424000	211	2002	578	1.0004764150943397	0.020726885372660656					424000	211	2002	578	11.562818396226415	0.11886488417632647					424000	211	2002	578	26.952200471698113	42.20539557406164					424000	211	2002	578	1.9881745283018868	0.10075074938700465				
	424000	206	2052	552	1.4981533018867925	0.02093035311301786					424000	206	2052	552	5.996066037735849	0.11920635267678388					424000	206	2052	552	25.961693396226416	42.139822162281504					424000	206	2052	552	1.4972334905660378	0.09957153004336156				
	424000	201	2102	717	1.0042783018867925	0.020925525581904247					424000	201	2102	717	7.0474481132075475	0.11992024154556605					424000	201	2102	717	25.678174528301888	42.078720684224876					424000	201	2102	717	6.528330188679245	0.10027637104708052				
	424000	197	2152	522	1.0072075471698114	0.02092479307793952					424000	197	2152	522	7.6622193396226415	0.12084483300623297					424000	197	2152	522	25.11044575471698	42.02167007192029					424000	197	2152	522	5.904896226415095	0.10071442070205898				
	424000	192	2202	789	1.5012948113207547	0.02112280656725213					424000	192	2202	789	2.3437853773584907	0.12009095634262494					424000	192	2202	789	24.279018867924528	41.968298050850976					424000	192	2202	789	5.159117924528302	0.10086396304791395				
	424000	188	2252	621	1.001193396226415	0.021121813366711893					424000	188	2252	621	10.475962264150944	0.12208952998229392					424000	188	2252	622	23.70775	41.91831143008489					424000	188	2252	622	3.025016509433962	0.10029139574769878				
	424000	184	2302	619	1.002570754716981	0.021123887183618028					424000	184	2302	619	7.489634433962264	0.12290921564577123					424000	184	2302	619	23.340799528301886	41.87144244909524					424000	184	2302	619	6.009849056603773	0.10078258434348204				
	424000	180	2352	814	1.001070754716981	0.021127822262826234					424000	180	2352	814	7.983245283018868	0.12388467095905983					424000	180	2352	814	22.760641509433963	41.82742178289452					424000	180	2352	814	5.5022311320754715	0.101081456540932				
	424000	176	2402	717	1.499943396226415	0.021318392008015753					424000	176	2402	717	3.196004716981132	0.12339901865623021					424000	176	2402	717	22.271028301886794	41.78602750480229					424000	176	2402	717	4.304568396226415	0.10097198068170808				
	424000	172	2452	648	1.4985283018867925	0.021504217665635254					424000	172	2452	648	2.634818396226415	0.12280332679975539					424000	172	2452	648	21.710757075471697	41.74704912826356					424000	172	2452	649	4.873483490566038	0.10106396167230883				
	424000	169	2502	699	1.5120283018867924	0.021691281014180462					424000	169	2502	699	3.0425400943396226	0.12233601523026395					424000	169	2502	699	21.641044811320754	41.71033014091553					424000	169	2502	699	4.4851910377358495	0.10103685553196903				
	424000	166	2552	698	1.5009339622641509	0.021870268186514344					424000	166	2552	698	2.5098702830188677	0.12176987608024879					424000	166	2552	698	21.03283962264151	41.67566812624346					424000	166	2552	698	5.012806603773585	0.10119052106698664				
	424000	162	2602	562	1.4976367924528302	0.022044491529060926					424000	162	2602	562	4.0	0.12158672007665733					424000	162	2602	562	20.5248679245283	41.6429164712121					424000	162	2602	562	3.5037476415094337	0.10088787052302349				
	424000	159	2652	693	1.007938679245283	0.022049845083060213					424000	159	2652	693	4.934733490566038	0.12165878947603011					424000	159	2652	693	20.452009433962264	41.61195945039256					424000	159	2652	693	8.66233962264151	0.10237235148999012				
	424000	156	2702	615	1.0012216981132076	0.022055016283194038					424000	156	2702	615	5.09703537735849	0.12178016634833724					424000	156	2702	616	19.76898820754717	41.58263673930336					424000	156	2702	616	8.419740566037737	0.10372353474118436				
	424000	154	2752	938	0.9997594339622642	0.022061574997522766					424000	154	2752	938	4.7189693396226415	0.12180854604167433					424000	154	2752	938	19.382004716981132	41.55484870605769					424000	154	2752	938	8.805688679245282	0.10519066005087763				
	424000	151	2802	1689	1.0066698113207546	0.02207193098208579					424000	151	2802	1689	8.719099056603774	0.12300354378783955					424000	151	2802	1689	19.43180424528302	41.52851030965577					424000	151	2802	1689	4.86827358490566	0.10528129804093081				
	424000	148	2852	903	1.4978844339622641	0.022241251625359025					424000	148	2852	904	4.148683962264151	0.12289399202001783					424000	148	2852	904	18.75958490566038	41.503489037844176					424000	148	2852	904	3.3516108490566037	0.10495898147173911				
	424000	146	2902	1223	1.4992783018867926	0.022408113436170825					424000	146	2902	1223	1.9988679245283019	0.12233773600802518					424000	146	2902	1223	18.465058962264152	41.479714344272914					424000	146	2902	1223	5.495641509433963	0.10525342584531636				
	424000	143	2952	1309	1.006938679245283	0.022419178052891692					424000	143	2952	1309	7.7874575471698115	0.12322005697909764					424000	143	2952	1309	18.376087264150943	41.4571131938513					424000	143	2952	1309	5.799103773584906	0.10563994314341302				
	424000	141	3002	589	1.0087924528301886	0.02243221091751925					424000	141	3002	589	11.905981132075471	0.1254638543656048					424000	141	3002	589	18.108811320754718	41.43560195035608					424000	141	3002	589	1.659502358490566	0.10496409811322265				
	424000	138	3052	611	1.5006438679245282	0.022595879389961427					424000	138	3052	611	4.018429245283019	0.12533739058964471					424000	138	3052	611	17.51901650943396	41.41509813569325					424000	138	3052	611	3.484731132075472	0.10472939186435366				
	424000	136	3102	628	1.00075	0.022607613714775557					424000	136	3102	629	7.009146226415094	0.12595605435742113					424000	136	3102	629	17.2054929245283	41.395549896916656					424000	136	3102	629	6.505334905660377	0.10534739570675251				
	424000	134	3152	738	0.9986603773584906	0.022620104092593515					424000	134	3152	738	6.18938679245283	0.12635149306215512					424000	134	3152	738	17.06221933962264	41.37690483352107					424000	134	3152	738	7.32985141509434	0.1062178213171132				
	424000	132	3202	602	1.5030283018867925	0.022781161828560666					424000	132	3202	602	3.700056603773585	0.12617339251539056					424000	132	3202	602	16.734554245283018	41.35910112266654					424000	132	3202	602	3.8138325471698113	0.10608007377061528				
	424000	130	3252	544	1.5003325471698112	0.02293893955191827					424000	130	3252	544	1.9994716981132075	0.1256871135559822					424000	130	3252	544	16.507889150943395	41.342092117099206					424000	130	3252	544	5.501375	0.1063906496613202				
	424000	128	3302	615	1.0013396226415094	0.022952613355204803					424000	128	3302	615	5.9925	0.12604411763104365					424000	128	3302	615	16.282389150943395	41.32583097601478					424000	128	3302	615	7.486521226415094	0.10728906642498696				
	424000	126	3352	628	1.5025683962264151	0.02310842491254246					424000	126	3352	629	3.4687594339622643	0.1258499384960935					424000	126	3352	629	15.98544575471698	41.3102718078984					424000	126	3352	629	4.042033018867924	0.10721976479384254				
	424000	124	3402	630	1.0019009433962265	0.023123032861094316					424000	124	3402	630	6.089028301886793	0.12623270635414902					424000	124	3402	630	15.732589622641509	41.29537591047709					424000	124	3402	630	7.415577830188679	0.10807988616623658				
	424000	122	3452	677	0.9958207547169812	0.02313720405630752					424000	122	3452	677	4.498238207547169	0.12625769109111545					424000	122	3452	677	15.520474056603774	41.28110714890163					424000	122	3452	678	8.98297641509434	0.10943114474425				
	424000	121	3502	703	1.5122405660377358	0.023293035414583885					424000	121	3502	703	3.5281650943396228	0.12609627789644526					424000	121	3502	703	15.644212264150944	41.26744102610342					424000	121	3502	704	4.0312264150943395	0.10936109448066031				
	424000	119	3552	1004	1.008759433962264	0.02331105708129053					424000	119	3552	1004	7.071452830188679	0.1267202273794757					424000	119	3552	1004	15.403938679245282	41.25433315514226					424000	119	3552	1004	6.556077830188679	0.10993893495546928				
	424000	117	3602	744	1.5128349056603774	0.023464560643415008					424000	117	3602	744	3.031061320754717	0.12647990520498842					424000	117	3602	744	15.175516509433962	41.24175366157396					424000	117	3602	744	4.537252358490566	0.10999363324394328				
	424000	116	3652	828	1.0024292452830188	0.023481619069680767					424000	116	3652	828	5.522867924528302	0.12673785041733857					424000	116	3652	828	14.777606132075471	41.229669464550724					424000	116	3652	828	7.986870283018868	0.1109793667198045				
	424000	114	3702	822	1.0010943396226415	0.02349927278482844					424000	114	3702	822	7.6698820754716985	0.1275037955923781					424000	114	3702	822	14.448325471698114	41.21805649265814					424000	114	3702	822	5.82632783018868	0.11134763494504676				
	424000	113	3752	701	1.0104669811320754	0.023519990502041985					424000	113	3752	701	7.4793136792452835	0.12821206578935204					424000	113	3752	701	14.597641509433963	41.20690330286963					424000	113	3752	701	6.14092216981132	0.11179485347274279				
	424000	111	3802	693	1.0092547169811321	0.02354121845052317					424000	111	3802	693	6.840905660377358	0.12875735801144347					424000	111	3802	693	14.389599056603773	41.19617656924715					424000	111	3802	694	6.784599056603773	0.11240857973262751				
	424000	110	3852	680	1.503127358490566	0.02368855078479066					424000	110	3852	680	4.09611320754717	0.1287230479201845					424000	110	3852	680	13.989231132075473	41.185849701184054					424000	110	3852	681	3.4064198113207547	0.11222894060079724				
	424000	108	3902	665	0.9987358490566037	0.023707792288590494					424000	108	3902	665	5.499662735849056	0.12896814755966748					424000	108	3902	665	13.756799528301887	41.17590702215186					424000	108	3902	665	8.011396226415094	0.1131796602370359				
	424000	107	3952	786	1.5181768867924528	0.023857139652359746					424000	107	3952	786	3.686683962264151	0.12886943689604616					424000	107	3952	786	13.92120283018868	41.16633928801779					424000	107	3952	786	3.875669811320755	0.11310151280810332				
	424000	105	4002	710	1.0093584905660378	0.023879142729725276					424000	105	4002	710	7.56502358490566	0.12957912012050957					424000	105	4002	710	13.646478773584906	41.15711745237442					424000	105	4002	710	6.071971698113208	0.11352098956327362				
	424000	104	4052	690	1.4960235849056605	0.024020395961380454					424000	104	4052	690	3.498183962264151	0.1294548927158175					424000	104	4052	690	13.229742924528303	41.148221548731286					424000	104	4052	690	4.0011698113207546	0.11347668352905418				
	424000	103	4102	779	1.51698820754717	0.024165628853084088					424000	103	4102	779	3.5336462264150943	0.12934313776201486					424000	103	4102	779	13.33610141509434	41.139648092219424					424000	103	4102	779	4.040471698113207	0.1134459099988178				
	424000	102	4152	1223	1.5009127358490566	0.024304985822981538					424000	102	4152	1223	3.495872641509434	0.12923145233432048					424000	102	4152	1223	13.008950471698114	41.131372074274516					424000	102	4152	1223	3.9921509433962266	0.11341088114891426				
	424000	100	4202	896	0.9994481132075471	0.0243246142526295					424000	100	4202	896	4.7631721698113205	0.12934517039735613					424000	100	4202	896	12.751054245283019	41.12338122199624					424000	100	4202	896	8.75813679245283	0.11454685719763537				
	424000	99	4252	795	1.0107122641509434	0.02434728570176433					424000	99	4252	795	6.084617924528302	0.12971871732485968					424000	99	4252	795	12.878396226415095	41.11567063949305					424000	99	4252	795	7.545115566037736	0.11532886818798381				
	424000	98	4302	657	0.9980801886792453	0.024367926900510744					424000	98	4302	657	8.300681603773585	0.13058927398465048					424000	98	4302	657	12.506889150943396	41.10821705443829					424000	98	4302	657	5.184398584905661	0.11553734389749204				
	424000	97	4352	746	1.5152759433962264	0.024508638461225578					424000	97	4352	747	3.7691438679245284	0.13053212625198088					424000	97	4352	747	12.609962264150944	41.10101864018688					424000	97	4352	747	3.8159221698113206	0.11547377469915195				
	424000	96	4402	1246	1.4969716981132075	0.024643248124974714					424000	96	4402	1246	4.011509433962265	0.13051914317520988					424000	96	4402	1247	12.282537735849056	41.0940553646728					424000	96	4402	1247	3.5007099056603774	0.11535862181475155				
	424000	95	4452	2261	1.012566037735849	0.024666912076167988					424000	95	4452	2261	7.061183962264151	0.13109205183740708					424000	95	4452	2261	12.42516745283019	41.087326087620504					424000	95	4452	2261	6.564877358490566	0.11588447477740572				
	424000	94	4502	870	0.9999198113207547	0.024688573304198817					424000	94	4502	870	5.496030660377358	0.131342916178527					424000	94	4502	870	12.064174528301887	41.080810917145165					424000	94	4502	870	7.982	0.11676034039729223				
	424000	93	4552	807	1.5201721698113209	0.02482705595118981					424000	93	4552	807	3.6204811320754717	0.13127403075218544					424000	93	4552	807	12.082396226415094	41.07450777384508					424000	93	4552	807	3.9629103773584906	0.11673414194892431				
	424000	92	4602	1634	1.4999858490566038	0.02495920862643652					424000	92	4602	1634	3.515641509433962	0.13119390135507317					424000	92	4602	1634	11.727820754716982	41.06840076447843					424000	92	4602	1634	3.9722735849056603	0.11671407680757205				
	424000	91	4652	1296	1.0108301886792452	0.024983044706456802					424000	91	4652	1296	8.147459905660376	0.13200131051038802					424000	91	4652	1296	11.877966981132076	41.06249070264586					424000	91	4652	1296	5.498632075471698	0.1169947290677352				
	424000	90	4702	931	1.0004245283018869	0.025005357556207457					424000	90	4702	931	7.488926886792453	0.13265251522568866					424000	90	4702	931	11.514919811320755	41.05676029741208					424000	90	4702	931	5.970169811320755	0.11737521312875987				
	424000	89	4752	2944	1.0119669811320755	0.02503040108233833					424000	89	4752	2944	7.066566037735849	0.1332077249119591					424000	89	4752	2944	11.676497641509433	41.05121118643567					424000	89	4752	2944	6.564172169811321	0.11788527482217381				
	424000	88	4802	1208	1.0002358490566037	0.025053656623442933					424000	88	4802	1208	5.277191037735849	0.13341486187978077					424000	88	4802	1208	11.246497641509434	41.045825940398586					424000	88	4802	1208	8.22732783018868	0.11879342919197919				
	424000	87	4852	1032	1.5198396226415094	0.025188280530922223					424000	87	4852	1032	2.5239268867924527	0.13320724312060025					424000	87	4852	1032	11.36896462264151	41.04060710184745					424000	87	4852	1032	5.066792452830189	0.11898019170263328				
	424000	86	4902	973	1.4999787735849057	0.025316987557927842					424000	86	4902	973	3.9970943396226417	0.1332099281768538					424000	86	4902	973	11.054323113207547	41.03554088700325					424000	86	4902	974	3.509179245283019	0.11889203840238868				
	424000	85	4952	939	1.517058962264151	0.025448518882771748					424000	85	4952	939	3.826183962264151	0.1331902649133108					424000	85	4952	939	11.108228773584905	41.03062711788955					424000	85	4952	939	3.7628915094339623	0.11885011321576422				
	424000	84	5002	1018	1.002995283018868	0.02547201443931317					424000	84	5002	1018	6.4965966981132075	0.13362731963678612					424000	84	5002	1018	10.733504716981132	41.02585312112566					424000	84	5002	1018	6.989268867924529	0.11944499199172438				
	424000	83	5052	829	1.5181415094339623	0.025602378429464414					424000	83	5052	829	4.547844339622642	0.13372075448316012					424000	83	5052	829	10.879455188679245	41.02122143456198					424000	83	5052	829	3.0389009433962264	0.11929467153582082				
	424000	83	5102	855	1.515622641509434	0.02573102350974285					424000	83	5102	855	4.459931603773585	0.13380217621823365					424000	83	5102	855	10.889667452830189	41.01672448286974					424000	83	5102	856	3.1170330188679247	0.11916147818289947				
	424000	82	5152	973	0.999872641509434	0.025753929367920217					424000	82	5152	973	10.556228773584905	0.13514927080652225					424000	82	5152	973	10.458563679245284	41.01235064503246					424000	82	5152	973	2.9546674528301886	0.11900973994238359				
	424000	81	5202	776	1.014372641509434	0.025779851015715748					424000	81	5202	776	7.317787735849056	0.13573480640287297					424000	81	5202	776	10.655198113207547	41.00810434913479					424000	81	5202	776	6.3658938679245285	0.11946791713752608				
	424000	80	5252	745	1.00075	0.025803722435189785					424000	80	5252	745	8.148547169811321	0.13648824164622939					424000	80	5252	745	10.295617924528301	41.00397291710323					424000	80	5252	745	5.342525943396226	0.11971920502124468				
	424000	79	5302	938	1.5199882075471698	0.02593156959549763					424000	79	5302	938	3.5375919811320755	0.13643300000961175					424000	79	5302	938	10.359016509433962	40.9999579906151					424000	79	5302	938	4.049943396226415	0.11974370826853827				
	424000	79	5352	831	1.0120471698113207	0.025957582658462205					424000	79	5352	831	8.442860849056604	0.13724202488104967					424000	79	5352	831	10.371346698113207	40.99605455428273					424000	79	5352	831	5.237757075471698	0.11997674833882624				
	424000	78	5402	935	1.4994834905660377	0.026079640404769643					424000	78	5402	935	5.997424528301887	0.13756635018084107					424000	78	5402	935	10.008311320754718	40.99225352587057					424000	78	5402	935	1.5000990566037735	0.11966014121257729				
	424000	77	5452	976	1.5187853773584905	0.026204932755730936					424000	77	5452	976	5.059905660377359	0.13773452330885474					424000	77	5452	976	10.102983490566038	40.9885572487363					424000	77	5452	976	2.531745283018868	0.11947445850367489				
	424000	77	5502	919	1.013504716981132	0.026231107650293118					424000	77	5502	919	3.03888679245283	0.13762224294217487					424000	77	5502	919	10.12604716981132	40.98496101621116					424000	77	5502	919	10.623622641509433	0.1209754948067247				
	424000	76	5552	1040	0.9967122641509434	0.026254759110891274					424000	76	5552	1040	7.969153301886792	0.13831774921645065					424000	76	5552	1040	9.767811320754717	40.981456443952325					424000	76	5552	1040	5.555188679245283	0.12126685898046685				
	424000	75	5602	870	1.0122877358490565	0.026281392058918215					424000	75	5602	870	7.079278301886792	0.13883297448605614					424000	75	5602	870	9.859495283018868	40.97804594279483					424000	75	5602	870	6.576926886792453	0.12175607873841728				
	424000	75	5652	1075	1.0126037735849056	0.026308387427522055					424000	75	5652	1075	6.548636792452831	0.13924766759023446					424000	75	5652	1075	9.870853773584905	40.97472521884115					424000	75	5652	1075	7.1289150943396224	0.1223568032425879				
	424000	74	5702	1050	1.5006721698113208	0.02642798679219589					424000	74	5702	1050	1.9939150943396227	0.1390271352076781					424000	74	5702	1050	9.466051886792453	40.9714861702559					424000	74	5702	1050	5.510066037735849	0.12263473863724648				
	424000	73	5752	805	1.5178160377358492	0.026550295616029486					424000	73	5752	805	4.100360849056604	0.13905956755929064					424000	73	5752	805	9.597858490566038	40.96833237465199					424000	73	5752	805	3.502804245283019	0.12258949915720808				
	424000	73	5802	1021	1.0131981132075472	0.02657726418877282					424000	73	5802	1021	6.117716981132076	0.13939989230008165					424000	73	5802	1021	9.597575471698113	40.96525936691233					424000	73	5802	1021	7.569646226415094	0.12327736516746733				
	424000	72	5852	1044	1.5024198113207548	0.026695246892164768					424000	72	5852	1044	3.510433962264151	0.13935884866467538					424000	72	5852	1044	9.248936320754717	40.96226045030248					424000	72	5852	1044	3.9981509433962263	0.12330649809021729				
	424000	71	5902	1143	1.0164811320754716	0.026722837644842432					424000	71	5902	1143	7.093641509433962	0.13986959215449354					424000	71	5902	1143	9.372915094339623	40.95933848441209					424000	71	5902	1143	6.595691037735849	0.12378645190781641				
	424000	71	5952	1040	1.0135188679245284	0.02675021495665599					424000	71	5952	1040	7.235160377358491	0.14040296647091277					424000	71	5952	1040	9.40719103773585	40.956489898025296					424000	71	5952	1040	6.461639150943396	0.12423721846010694				
	424000	70	6002	793	1.498301886792453	0.026866126737768604					424000	70	6002	793	1.9982169811320756	0.1402008303592886					424000	70	6002	793	9.015724056603773	40.953707654005946					424000	70	6002	793	5.49110141509434	0.12450754666588819				
	424000	70	6052	833	1.4970141509433963	0.026980972334273143					424000	70	6052	833	2.502040094339623	0.1400535935797328					424000	70	6052	833	8.981806603773585	40.9509934499377					424000	70	6052	833	5.002028301886792	0.12469497578778309				
	424000	69	6102	822	1.521	0.027099862793532704					424000	69	6102	822	3.5564127358490567	0.14002820980546146					424000	69	6102	823	9.137896226415094	40.9483470702283					424000	69	6102	823	4.0592075471698115	0.12473753133072371				
